TempOut;OutHum;SolarRad
22.2;97;30
21.8;98;27
21.8;98;38
21.9;97;43
22.3;97;71
22.6;97;112
22.7;97;111
22.8;98;92
22.8;98;121
22.9;97;136
23.1;97;138
23.2;96;185
23.1;97;159
22.8;98;138
22.7;98;94
22.8;98;111
22.7;98;112
23.1;98;131
23;97;136
23.7;97;213
23.4;96;139
23.6;96;107
23.5;95;87
23.1;97;82
23.6;97;152
23.4;96;72
23.2;96;38
23.1;96;21
22.9;96;7
22.9;96;0
22.7;97;0
22.6;97;0
22.5;97;0
22.4;97;0
22.3;97;0
22.3;97;0
22.3;97;0
22.3;97;0
22.4;97;0
22.4;97;0
22.4;97;0
22.6;96;0
22.4;97;0
22.3;97;0
22.3;98;0
22.3;98;0
22.3;99;0
22.4;98;0
22.5;98;0
22.6;97;0
22.4;98;0
22.3;98;0
22.3;99;0
22.3;99;0
22.3;99;0
22.2;99;0
22.2;99;0
22.2;99;0
22.2;99;0
22.2;99;0
22.1;99;0
22.1;99;0
22.1;99;0
22;99;0
22;99;0
22;99;0
22;99;0
22.1;99;0
22;99;0
22;100;0
22.1;100;0
22;100;0
21.9;100;0
21.9;100;0
21.9;100;0
22;100;0
22;100;0
22;100;0
21.9;100;0
21.9;100;2
21.9;100;14
22.1;100;18
22.3;100;52
22.6;100;87
22.8;100;113
23.3;98;180
23.5;96;143
23.7;95;160
24;95;226
24.7;93;333
24.7;93;221
24.8;94;198
25.1;92;405
24.9;92;284
24.7;93;199
25.6;90;514
25.5;93;335
26.2;88;1105
26.9;88;920
26.8;84;1211
26.6;86;446
26;86;199
25.4;88;206
25.4;91;339
25.1;92;242
25.2;90;268
25.8;88;406
26.5;86;292
28;80;905
28.7;78;947
28.5;74;974
27.9;78;607
28.1;77;407
27.9;78;446
27.6;79;577
26.4;82;318
26.3;85;307
26.2;85;255
26.4;82;261
26.6;82;334
26;83;183
25.7;84;101
25;86;38
24.7;88;26
24.2;90;12
23.8;92;4
23.7;92;0
23.4;93;0
23.4;93;0
23.3;93;0
23.2;94;0
23.1;94;0
22.9;95;0
22.9;95;0
22.9;95;0
22.8;96;0
22.7;96;0
22.3;97;0
22.4;98;0
22.3;97;0
22.4;97;0
22.3;97;0
22.2;98;0
22;98;0
21.8;98;0
21.9;98;0
22.1;99;0
22.3;98;0
22.5;98;0
22.6;97;0
22.4;98;0
22.3;98;0
22.2;98;0
22;98;0
21.8;98;0
21.7;99;0
21.8;99;0
21.8;99;0
21.6;99;0
21.6;99;0
21.7;99;0
21.7;99;0
21.8;99;0
21.8;99;0
21.7;99;0
21.7;98;0
21.4;98;0
21.3;99;0
21.1;99;0
21.2;99;0
21.1;99;0
21.1;99;0
20.9;99;0
20.9;99;0
20.9;99;0
21.2;99;3
21.3;99;13
21.4;99;23
21.7;98;39
21.8;99;35
22.8;97;41
23.4;95;66
23.7;92;103
24.7;92;381
25;90;488
25.3;87;549
24.9;89;271
25.3;87;387
25.4;86;332
25.8;85;352
25.9;86;302
25.4;87;246
26.9;82;523
27.3;81;729
26.6;85;327
26.6;84;373
26.1;85;320
26.9;83;441
26.9;82;393
27.3;80;471
27.1;86;369
27.8;80;533
27.7;79;464
28.3;78;643
28.1;79;477
28.6;79;449
28.2;78;650
28.6;78;544
28.9;76;741
29.1;77;737
28.2;78;226
28;78;183
27.1;85;41
26.9;87;69
26.7;87;85
26.6;89;122
26.5;88;202
26.1;90;69
25.8;90;51
25.8;90;44
25.3;91;40
25.1;92;18
24.7;93;2
24.2;95;0
24.1;95;0
23.8;96;0
23.7;96;0
23.8;96;0
23.7;97;0
23.6;97;0
23.6;97;0
23.6;97;0
23.6;97;0
23.7;98;0
23.5;98;0
23.6;98;0
23.6;96;0
23.6;97;0
23.4;98;0
23.4;98;0
23.7;98;0
23.6;98;0
23.6;98;0
23.7;98;0
23.4;98;0
23.1;98;0
23.1;98;0
23.1;99;0
23.1;98;0
22.8;98;0
22.5;98;0
22.7;99;0
22.7;99;0
22.7;99;0
22.6;99;0
22.4;98;0
22.3;98;0
22.1;98;0
22.1;99;0
21.9;99;0
22;99;0
22.1;98;0
22.1;98;0
22.1;98;0
22.1;97;0
22.1;97;0
21.7;98;0
21.3;98;0
21.2;98;0
21.2;99;0
21.1;99;0
21.1;99;5
21.1;99;13
21.2;99;24
21.7;99;37
22.4;99;65
22.6;97;75
22.4;97;70
22.9;94;97
23.4;93;154
23.9;92;226
24.6;90;235
25.3;87;352
25.3;84;350
26.2;83;511
26.7;81;717
26.8;78;753
27.1;77;833
28.1;80;867
28.2;76;909
28.1;76;980
28.3;77;871
27.8;76;307
29.1;73;1061
29.3;73;820
28.2;76;473
30;71;1155
29.1;71;782
28.8;73;578
29.2;71;965
29.3;71;973
29.3;68;968
29.3;67;723
29.2;69;641
29.5;66;835
28.1;71;346
29.1;68;665
29;68;615
28.7;69;343
28.4;72;139
28.4;70;104
28.3;71;183
28.1;72;176
27.7;72;62
26.8;80;37
25.8;86;27
25.2;86;21
24.8;88;11
24.6;88;1
24.4;89;0
24.5;88;0
24.2;90;0
23.8;90;0
23.7;90;0
23.4;91;0
23.3;92;0
23.3;93;0
23.6;93;0
23.7;92;0
23.7;92;0
